Product,Total Quantity,Total Revenue
SET 10 MINI SANTA & SNOWMAN  17087,4.00,6.64
BLUE/YELLOW CERAMIC CANDLE HOLDER,4.00,6.6
LARGE BLACK DIAMANTE HAIRSLIDE,4.00,6.6
PINK HEARTS PAPER GARLAND,4.00,6.6
AMBER BERTIE MOBILE PHONE CHARM,2.00,6.58
PINK CRYSTAL SKULL PHONE CHARM,4.00,6.52
DIAMANTE BOW BROOCH BLACK COLOUR,1.00,6.35
SET 10 CARDS CHRISTMAS ROBIN 17095,3.00,6.24
ENGLISH ROSE METAL WASTE BIN,2.00,5.9
GOLD M.O.P. ORBIT NECKLACE,2.00,5.9
ST GEORGE SET OF 10 PARTY LIGHTS,2.00,5.9
WHITE CHRISTMAS TREE 60CM,2.00,5.9
MIDNIGHT BLUE CRYSTAL DROP EARRINGS,2.00,5.85
PURPLE FINE BEAD NECKLACE W TASSEL,1.00,5.82
SET 10 CARD CHRISTMAS STAMPS 16963,2.00,5.82
SET 10 CARDS ROBIN WATERPUMP  17096,2.00,5.82
SET 10 CARDS SWIRLY XMAS TREE 17104,2.00,5.82
AMBER CRYSTAL DROP EARRINGS,2.00,5.8
BROWN VINTAGE VICTORIAN EARRINGS,2.00,5.8
GLASS BEAD HOOP EARRINGS GREEN,2.00,5.8
GREEN CRYSTAL DROP EARRINGS,2.00,5.8
RED STONE/CRYSTAL EARRINGS,2.00,5.8
SET 10 CARDS HANGING BAUBLES 17080,2.00,5.48
PINK COMBO MINI CRYSTALS NECKLACE,1.00,5.4
PINK TALL PORCELAIN T-LIGHT HOLDER,2.00,5.1
BLUE FLOCK CUSHION COVER,4.00,5
TOP SECRET PEN SET,4.00,5
LIGHT TOPAZ TEAL/AQUA COL NECKLACE,1.00,4.98
SET 10 CARDS DAVID'S MADONNA 17074,2.00,4.98
SET 10 CARDS DECK THE HALLS 16960,2.00,4.98
CRACKED GLAZE EARRINGS BROWN,2.00,4.96
CRACKED GLAZE EARRINGS IVORY,2.00,4.96
SET/3 POLKADOT STACKING TINS,1.00,4.95
VINTAGE BEAD PINK JEWEL STAND,1.00,4.95
EASTER TIN KEEPSAKE,3.00,4.949999999999999
LARGE HEART FLOWERS HOOK,2.00,4.92
PINK BEADS+HAND PHONE CHARM,2.00,4.92
PINK LEAVES AND BEADS PHONE CHARM,2.00,4.92
ANTIQUE OPAL WHITE FLOWER EARRINGS,1.00,4.25
LIGHT DECORATION BATTERY OPERATED,2.00,4.2
 I LOVE LONDON MINI RUCKSACK,1.00,4.15
CRYSTAL DIAMANTE EXPANDABLE RING,1.00,4.15
PURPLE VINTAGE EARRINGS,1.00,4.15
AQUA BERTIE GLASS BEAD BAG CHARM,1.00,4.13
PINK BERTIE GLASS BEAD BAG CHARM,1.00,4.13
PURPLE BERTIE GLASS BEAD BAG CHARM,1.00,4.13
BAROQUE BUTTERFLY EARRINGS BLACK,1.00,3.75
LADYBIRD + BEE RAFFIA FOOD COVER,1.00,3.75
MONEY BOX FIRST ADE DESIGN,3.00,3.75
BAROQUE BUTTERFLY EARRINGS MONTANA,1.00,3.73
BAROQUE BUTTERFLY EARRINGS PINK,1.00,3.73
PEARL AND CHERRY QUARTZ BRACLET,1.00,3.73
WHITE ALLIUM  ARTIFICIAL FLOWER,2.00,3.38
SET 10 CARDS CHRISTMAS BAUBLE 16954,1.00,3.33
"LETTER ""F"" BLING KEY RING",4.00,3.32
FLAG OF ST GEORGE,2.00,3.3
PURPLE/BLUE CERAMIC CANDLE HOLDER,2.00,3.3
DOTCOMGIFTSHOP TEA TOWEL,1.00,3.29
15 PINK FLUFFY CHICKS IN BOX,1.00,2.95
FOLDING SHOE TIDY,1.00,2.95
SET 10 CARDS 3 WISE MEN 17107,1.00,2.91
SET 10 CARDS SNOWY ROBIN 17099,1.00,2.91
SET 10 CARDS TRIANGLE ICONS  17220,1.00,2.91
BLACK DIAMOND CLUSTER EARRINGS,1.00,2.9
GLASS BEAD HOOP EARRINGS BLACK,1.00,2.9
GLASS BEAD HOOP EARRINGS MONTANA,1.00,2.9
GREY ACRYLIC FACETED BANGLE,1.00,2.9
MONTANA DIAMOND CLUSTER EARRINGS,1.00,2.9
PURPLE CRYSTAL DROP EARRINGS,1.00,2.9
RED   ACRYLIC FACETED BANGLE,1.00,2.9
SUMMER BUTTERFLIES BAG CHARM,1.00,2.55
UBO-LIGHT TRIOBASE BLUE,3.00,2.55
TURQUOISE CHRISTMAS TREE,2.00,2.5
"LETTER ""P"" BLING KEY RING",3.00,2.4899999999999998
"MUG , DOTCOMGIFTSHOP.COM",3.00,2.4899999999999998
TINY CRYSTAL BRACELET BLUE,1.00,2.48
TINY CRYSTAL BRACELET GREEN,1.00,2.48
2 PICTURE BOOK EGGS EASTER CHICKS,1.00,2.46
FELT FARM ANIMAL CHICKEN,1.00,2.46
GREEN LEAVES AND BEADS PHONE CHARM,1.00,2.46
LUSH GREENS RIBBONS,1.00,2.46
DOLPHIN WINDMILL,1.00,2.12
SPOTS ON RED BOOKCOVER TAPE,4.00,1.68
BANK ACCOUNT  GREETING  CARD,2.00,1.66
"LETTER ""Y"" BLING KEY RING",2.00,1.66
ROBIN CHRISTMAS CARD,2.00,1.66
CROCHET LILAC/RED BEAR KEYRING,1.00,1.65
FLOWER SHOP DESIGN MUG,1.00,1.65
12 PINK ROSE PEG PLACE SETTINGS,1.00,1.25
RETRO PINK BALL ASHTRAY,1.00,1.25
SET 36 COLOURING PENCILS DOILEY,1.00,1.25
YELLOW BREAKFAST CUP AND SAUCER,3.00,1.17
WHITE/PINK CHICK EASTER DECORATION,1.00,0.85
ELEPHANT CLIP W SUCTION CUP,2.00,0.84
BLUE KNITTED HEN,1.00,0.83
"LETTER ""O"" BLING KEY RING",1.00,0.83
"LETTER ""W"" BLING KEY RING",1.00,0.83
BLUE FLOCK GLASS CANDLEHOLDER,2.00,0.76
SET 12 COLOURING PENCILS DOILEY,1.00,0.65
BLUE CRUSOE CHECK LAMPSHADE,1.00,0.42
3 BIRDS CANVAS SCREEN,1.00,0.39
PADS TO MATCH ALL CUSHIONS,3.00,0.002
